tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 267, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5213772, b_ADM1_PT: Goiás, b_ADM2_PT: Montividiu do Norte, au_area_km2: 1332.78

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 269, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5221452, b_ADM1_PT: Goiás, b_ADM2_PT: Trombas, au_area_km2: 799.47

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 270, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5208301, b_ADM1_PT: Goiás, b_ADM2_PT: Divinópolis de Goiás, au_area_km2: 830.91

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 271, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5204904, b_ADM1_PT: Goiás, b_ADM2_PT: Campos Belos, au_area_km2: 734.21

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 277, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5219803, b_ADM1_PT: Goiás, b_ADM2_PT: São Domingos, au_area_km2: 3333.9

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 278, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5213053, b_ADM1_PT: Goiás, b_ADM2_PT: Mimoso de Goiás, au_area_km2: 1386.65

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 279, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5200175, b_ADM1_PT: Goiás, b_ADM2_PT: Água Fria de Goiás, au_area_km2: 2029.93

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 280, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5220009, b_ADM1_PT: Goiás, b_ADM2_PT: São João d'Aliança, au_area_km2: 3327.52

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 281, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5214606, b_ADM1_PT: Goiás, b_ADM2_PT: Niquelândia, au_area_km2: 9843.19

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 282, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5200605, b_ADM1_PT: Goiás, b_ADM2_PT: Alto Paraíso de Goiás, au_area_km2: 2596.59

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 283, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5218300, b_ADM1_PT: Goiás, b_ADM2_PT: Posse, au_area_km2: 2071.06

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 284, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5209903, b_ADM1_PT: Goiás, b_ADM2_PT: Iaciara, au_area_km2: 1550.06

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 285, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5214903, b_ADM1_PT: Goiás, b_ADM2_PT: Nova Roma, au_area_km2: 2136.24

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 286, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5209408, b_ADM1_PT: Goiás, b_ADM2_PT: Guarani de Goiás, au_area_km2: 1226.5

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 287, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5220686, b_ADM1_PT: Goiás, b_ADM2_PT: Simolândia, au_area_km2: 347.98

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 288, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5220702, b_ADM1_PT: Goiás, b_ADM2_PT: Sítio d'Abadia, au_area_km2: 1611.36

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 289, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5207907, b_ADM1_PT: Goiás, b_ADM2_PT: Flores de Goiás, au_area_km2: 3709.02

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 290, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5214879, b_ADM1_PT: Goiás, b_ADM2_PT: Nova Iguaçu de Goiás, au_area_km2: 628.24

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 291, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5221601, b_ADM1_PT: Goiás, b_ADM2_PT: Uruaçu, au_area_km2: 2141.64

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 292, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5200555, b_ADM1_PT: Goiás, b_ADM2_PT: Alto Horizonte, au_area_km2: 504.13

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 293, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5204953, b_ADM1_PT: Goiás, b_ADM2_PT: Campos Verdes, au_area_km2: 441.18

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 294, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5204706, b_ADM1_PT: Goiás, b_ADM2_PT: Campinorte, au_area_km2: 1067.99

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 295, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5207501, b_ADM1_PT: Goiás, b_ADM2_PT: Estrela do Norte, au_area_km2: 301.99

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 296, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5219456, b_ADM1_PT: Goiás, b_ADM2_PT: Santa Rita do Novo Destino, au_area_km2: 956.19

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 297, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5220157, b_ADM1_PT: Goiás, b_ADM2_PT: São Luiz do Norte, au_area_km2: 585.55

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 298, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5214101, b_ADM1_PT: Goiás, b_ADM2_PT: Mutunópolis, au_area_km2: 955.96

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 299, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5209457, b_ADM1_PT: Goiás, b_ADM2_PT: Guarinos, au_area_km2: 596.09

